STOIC51,STOIC05,STOIC62,STOIC74,STOIC71,STOIC76,STOIC80,STOIC54,STOIC67,STOIC02,STOIC68,STOIC79,STOIC72,STOIC61,STOIC81,STOIC53,STOIC01,STOIC66,STOIC75,STOIC69,STOIC52,STOIC73,STOIC82,STOIC70,STOIC77,STOIC64,STOIC63,STOIC78,STOIC04,STOIC55,STOIC03,STOIC65,STOIC97,STOIC99,STOIC98
326,2273,557,1355,520,581,667,453,546,767,3069,1583,1481,895,2900,2777,1032,1453,2059,3657,410,1518,2561,2394,3751,1778,3679,1906,1437,1452,1676,1788,1145,742,1057
1306,1638,1800,1080,1945,1651,1733,958,2323,1672,1261,1005,1131,1719,1456,1021,1514,2350,1763,1048,2170,1651,1551,1109,1303,1614,1349,1233,1186,918,1220,1202,2070,1647,3618
1030,510,1266,607,1808,1385,1124,2215,1573,1930,1261,613,1830,1933,1507,1257,1484,1958,2070,3355,2216,1859,2573,663,2391,2044,1597,2340,2292,480,2027,721,2392,902,1592
1244,975,1342,1795,1158,1107,1563,1229,1505,1491,1734,2231,1419,1112,1649,1860,1364,1535,1553,1654,791,1589,1469,2237,1414,1895,1654,1593,1846,3173,1864,2526,1215,901,816
187,421,159,371,195,99,175,507,255,209,1456,437,3018,314,2243,1492,294,273,516,856,48,639,628,403,1043,602,809,589,724,578,1015,692,573,535,125
593,1000,982,1139,953,1341,845,972,1220,1440,1475,1575,1430,1464,1749,1040,1258,1250,1383,1089,2419,1016,1048,1783,2073,1311,1598,1318,1609,1184,1928,1580,1881,2380,2373
699,849,814,1112,766,920,770,545,760,724,746,1012,577,765,645,798,620,686,506,727,429,775,915,988,617,704,930,910,800,1025,691,1292,790,2205,1751
680,689,1028,1013,930,580,678,641,668,589,1528,1116,1454,816,1444,1104,623,669,684,1168,216,857,1035,1795,1213,1032,1073,932,901,1741,1142,2010,810,1713,1042
909,1961,661,923,843,725,535,1493,530,1153,602,716,537,591,486,637,896,514,926,669,709,882,873,677,656,901,623,925,1609,592,743,534,1013,1122,583
414,251,1914,308,536,652,842,363,714,559,360,1333,357,1497,1269,395,535,620,566,496,941,368,872,417,1499,1321,1098,1580,425,523,369,1662,1037,596,1100
413,332,1082,375,727,1001,677,363,1352,1240,624,404,670,538,598,369,698,564,525,1076,325,770,744,664,710,1086,597,1046,1150,404,886,705,1518,1631,1452
992,260,1594,201,663,692,570,160,819,681,354,156,365,813,518,293,674,443,584,248,137,409,378,116,424,539,287,487,382,147,629,207,877,434,694
484,434,660,713,800,598,882,298,1045,1264,664,921,955,725,1240,494,710,837,613,750,367,581,546,534,1189,729,1543,767,821,708,998,998,863,894,904
966,1367,575,1034,688,651,769,1032,665,554,1006,1238,1316,653,1031,1146,695,771,827,1174,992,1094,1118,1267,947,1014,1107,959,902,1215,814,1039,551,659,522
45,28,1306,11,32,110,477,28,40,17,28,877,16,745,849,30,29,34,33,32,49,36,300,32,1060,817,614,1012,47,16,55,1029,18,43,22
508,276,515,475,452,393,486,326,342,475,537,594,578,299,485,518,325,378,375,331,141,495,354,434,654,400,445,510,543,601,780,711,396,1105,284
195,50,567,73,314,584,378,110,654,470,217,142,208,205,255,148,399,336,401,208,30,396,293,11,292,459,185,445,237,38,146,115,1076,63,476
188,279,89,351,273,531,297,613,53,486,15,35,155,192,202,19,84,12,76,34,464,64,88,748,102,105,120,81,282,485,96,29,172,24,103
398,488,521,223,350,369,335,233,344,422,132,159,119,312,131,92,681,350,357,133,185,300,165,54,203,257,157,352,396,103,115,199,476,458,502
388,203,286,87,219,323,266,208,279,659,69,93,113,179,73,72,223,77,193,115,372,151,129,42,153,201,87,168,294,43,193,69,154,89,74
316,153,338,228,382,436,428,321,361,392,304,202,296,260,318,301,437,275,446,308,254,269,266,179,342,325,317,287,409,231,376,182,441,536,439
338,235,462,164,520,462,350,228,384,435,306,156,369,405,298,237,338,360,279,146,156,365,217,74,444,315,233,379,257,125,413,185,507,233,475
265,27,425,45,123,100,297,84,145,93,15,76,30,40,34,21,54,29,47,34,11,50,53,47,58,81,28,62,38,73,25,106,56,298,31
205,342,267,228,249,268,310,70,317,202,100,314,99,325,175,151,146,251,247,145,354,112,173,156,189,174,145,165,79,180,117,280,305,350,338
108,185,260,108,171,108,134,42,139,103,79,210,78,247,145,82,148,111,144,93,138,63,88,90,206,155,113,205,75,94,84,216,150,166,179
