kingdom;phylum;class;order;family;genus;species
k__Bacteria (superkingdom); p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Polymorphobacter; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Polymorphobacter; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Rhizorhapis; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Rhizorhapis; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Polaromonas; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhizobacter; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhizobacter; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhizobacter; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Sphaerotilus; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__Ellin6067; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__[Aquaspirillum] arcticum group; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Undibacterium; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Undibacterium; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Undibacterium; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Candidatus Ovatusbacter order incertae sedis; f__Candidatus Ovatusbacter family incertae sedis; g__Candidatus Ovatusbacter; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__
k__Bacteria (superkingdom); p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__; s__
k__Bacteria (superkingdom); p__Saccharimonadia; c__Saccharimonadales class incertae sedis; o__Saccharimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Saccharimonadia; c__Saccharimonadales class incertae sedis; o__Saccharimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Saccharimonadia; c__Saccharimonadales class incertae sedis; o__Saccharimonadales; f__LWQ8; g__; s__
k__Bacteria (superkingdom); p__Saccharimonadia; c__Saccharimonadales class incertae sedis; o__Saccharimonadales; f__LWQ8; g__; s__
k__Bacteria (superkingdom); p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae; g__; s__
k__Bacteria (superkingdom); p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae; g__Neochlamydia; s__
k__Bacteria (superkingdom); p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Cephaloticoccus; s__
k__SAR; p__Cercozoa; c__Endomyxa; o__Vampyrellida; f__Leptophryidae; g__; s__
k__SAR; p__Cercozoa; c__Endomyxa; o__Vampyrellida; f__Leptophryidae; g__Leptophryidae X; s__
k__SAR; p__Cercozoa; c__Filosa-Granofilosea; o__Limnofilida; f__Limnofilidae; g__Limnofila; s__
k__SAR; p__Cercozoa; c__Filosa-Granofilosea; o__Limnofilida; f__Limnofilidae; g__Limnofilidae X; s__
k__SAR; p__Cercozoa; c__Filosa-Imbricatea; o__Spongomonadida; f__Spongomonadidae; g__Spongomonadidae X; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__; f__; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Cercomonadida; f__Cercomonadidae; g__Cercomonas; s__Cercomonas celer
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__Allapsidae; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__Allapsidae; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__Allapsidae; g__Allapsidae X; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__Allapsidae; g__Group-Te; s__
k__SAR; p__Cercozoa; c__Filosa-Sarcomonadea; o__Glissomonadida; f__Sandonidae; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Thecofilosea; o__; f__; g__; s__
k__SAR; p__Cercozoa; c__Filosa-Thecofilosea; o__Cryomonadida; f__Rhogostoma-lineage; g__Rhogostoma-lineage X; s__Rhogostoma-lineage X sp.
k__SAR; p__Ciliophora; c__CONThreeP; o__CONThreeP X; f__Urotrichidae; g__; s__
k__SAR; p__Ciliophora; c__CONThreeP; o__CONThreeP X; f__Urotrichidae; g__Urotricha; s__Urotricha sp.
k__SAR; p__Ciliophora; c__Litostomatea; o__Litostomatea X; f__Litostomatea XX; g__; s__
k__SAR; p__Ciliophora; c__Litostomatea; o__Litostomatea X; f__Litostomatea XX; g__; s__
k__SAR; p__Ciliophora; c__Litostomatea; o__Litostomatea X; f__Litostomatea XX; g__; s__
k__SAR; p__Ciliophora; c__Litostomatea; o__Litostomatea X; f__Litostomatea XX; g__Spathidium 1; s__
k__SAR; p__Ciliophora; c__Litostomatea; o__Litostomatea X; f__Litostomatea XX; g__Spathidium 1; s__
k__SAR; p__Ciliophora; c__Litostomatea; o__Rhynchostomatia; f__Dileptidae; g__Dileptidae X; s__Dileptidae X sp.
k__SAR; p__Ciliophora; c__Oligohymenophorea; o__Frontoniidae 2; f__; g__; s__
k__SAR; p__Ciliophora; c__Oligohymenophorea; o__Frontoniidae 2; f__; g__; s__
k__SAR; p__Ciliophora; c__Oligohymenophorea; o__Frontoniidae 2; f__Frontoniidae 2 X; g__; s__
k__SAR; p__Ciliophora; c__Oligohymenophorea; o__Scuticociliatia 2 X; f__Scuticociliatia 2 XX; g__; s__
k__SAR; p__Ciliophora; c__Oligohymenophorea; o__Scuticociliatia 2 X; f__Scuticociliatia 2 XX; g__; s__
k__SAR; p__Ciliophora; c__Oligohymenophorea; o__Scuticociliatia 2 X; f__Scuticociliatia 2 XX; g__Scuticociliatia 2 XX sp.; s__
k__SAR; p__Ciliophora; c__Phyllopharyngea; o__; f__; g__; s__
k__SAR; p__Ciliophora; c__Phyllopharyngea; o__Cyrtophoria 4; f__; g__; s__
k__SAR; p__Ciliophora; c__Phyllopharyngea; o__Cyrtophoria 4; f__; g__; s__
k__SAR; p__Ciliophora; c__Phyllopharyngea; o__Suctoria X; f__Suctoria XX; g__Suctoria XX sp.; s__
k__SAR; p__Ciliophora; c__Spirotrichea; o__; f__; g__; s__
k__SAR; p__Ciliophora; c__Spirotrichea; o__; f__; g__; s__
k__SAR; p__Ciliophora; c__Spirotrichea; o__Hypotrichia XX; f__; g__; s__
k__SAR; p__Ciliophora; c__Spirotrichea; o__Hypotrichia XX; f__Hypotrichia XX sp.; g__; s__
k__SAR; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniales; f__Gymnodiniaceae; g__Gymnodinium; s__
k__SAR; p__Ochrophyta; c__Chrysophyceae; o__Chrysophyceae X; f__Chrysophyceae Clade-C; g__; s__
k__SAR; p__Ochrophyta; c__Chrysophyceae; o__Chrysophyceae X; f__Chrysophyceae Clade-D; g__Chrysophyceae Clade-D X; s__
k__SAR; p__Ochrophyta; c__Chrysophyceae; o__Chrysophyceae X; f__Chrysophyceae Clade-D; g__Hydrurus; s__
k__SAR; p__Ochrophyta; c__Chrysophyceae; o__Chrysophyceae X; f__Chrysophyceae XX; g__; s__
k__SAR; p__Ochrophyta; c__Xanthophyceae; o__Xanthophyceae X; f__; g__; s__
k__SAR; p__Opalozoa; c__Bicoecea; o__Pseudodendromonadales; f__Pseudodendromonadales X; g__Adriamonas; s__
k__SAR; p__Opalozoa; c__Bicoecea; o__Pseudodendromonadales; f__Pseudodendromonadales X; g__Pseudodendromonadales XX; s__
k__SAR; p__Pseudofungi; c__Oomycota; o__Saprolegniales; f__Aquastella family incertae sedis; g__Aquastella; s__
