KATIE25,STOIC32,STOIC45,STOIC11,STOIC12,STOIC13,STOIC14,STOIC15,STOIC21,STOIC22,STOIC23,STOIC24,STOIC25,STOIC30,STOIC31,STOIC33,STOIC34,STOIC35,STOIC36,STOIC37,STOIC39,STOIC40,STOIC41,STOIC42,STOIC43,STOIC44,STOIC46,STOIC47,STOIC48,STOIC49,STOIC50,STOIC92,STOIC93,STOIC94,STOIC95,STOIC96
46299,21014,14172,14961,18291,11023,12858,11240,20802,21746,25390,14065,33716,16637,22932,21330,18508,33487,24693,8514,18655,10470,17878,11908,19825,18501,18037,9027,22533,16284,13783,17971,21371,21790,21272,19611
9974,31720,12290,504,1419,487,4382,3244,815,1164,485,8587,6924,392,1054,1816,4217,5596,756,7186,12619,6582,827,13718,1630,4261,1054,6184,1422,9875,7696,905,5621,1779,10576,7355
5942,9149,2019,1928,2825,1716,2468,2532,3135,2453,1914,3855,4415,1060,3725,2004,3065,4014,2258,2324,6215,2278,2375,3250,3808,2388,2762,1874,3232,3811,2249,2853,3908,4127,7156,3071
24128,36728,12413,6582,8540,4965,7883,7351,15997,9351,10810,9432,18636,8181,12322,9402,8143,16635,14477,8394,8686,7582,8894,12649,9234,9427,7909,6799,9329,6815,6883,12562,13856,10152,11973,10414
36984,30211,24419,21988,23125,16697,14833,11176,21494,22672,25238,11622,25804,16705,21688,19348,15224,25240,24069,9786,10248,9056,18945,13168,20256,17844,20576,9300,25678,12530,12268,20306,26061,24440,13767,15322
24692,84551,14847,523,2583,744,12203,10760,1267,1199,679,15481,15640,657,1377,1959,4775,10233,1283,12995,14989,10715,1004,24508,2264,4719,1296,12558,1668,13659,11773,1212,12435,2355,12183,12172
16547,19235,6324,1061,2262,1525,3750,4067,8847,1412,3045,5792,13225,1182,7499,4312,3480,8701,6561,7040,9179,4214,2655,15589,11465,8476,3782,7063,3553,6690,7694,6318,17797,12418,10762,8280
343,365,605,194,238,163,150,96,800,213,259,161,295,614,587,292,203,272,1041,196,243,152,1032,176,882,1785,476,129,633,218,454,875,544,953,619,332
37296,15131,23842,25702,26360,19479,13579,9871,23761,26037,29248,8987,25546,18900,28571,23637,18488,29955,27992,7792,5873,7309,23067,8428,23732,20750,24559,8110,29752,8336,10864,23501,25592,27900,11709,13419
11989,12156,1331,454,3092,946,1223,1462,2210,2366,4937,855,8069,1763,1786,3394,1015,5818,1786,3041,494,2253,981,4983,7418,6580,1079,2683,7919,656,2781,1702,9266,7610,2160,3262
35909,14481,19649,20396,22268,15163,11075,8540,22212,22319,26072,6869,24758,16579,21768,19403,13972,24612,23733,6935,5157,6618,18426,7610,21043,17971,18902,6682,26100,7001,9487,20115,24375,25046,11018,12289
58382,56147,3554,1241,13631,2756,4424,5310,4606,11231,22285,3202,35024,7467,3530,13251,2943,24228,3953,11016,1658,9377,3093,16843,23945,24638,2467,9400,36024,2144,11213,3963,27962,23429,7190,12394
7643,4987,979,577,1711,769,1566,1670,2134,1398,2602,831,5236,1131,2048,2198,1068,4037,2226,1601,629,1245,1361,2577,4083,3678,1210,1814,4408,610,2257,1689,4586,4778,2067,2614
789,1002,2040,201,228,135,129,108,224,447,233,104,568,3338,261,213,203,354,287,190,130,198,346,241,305,284,223,230,1155,95,1729,355,394,433,253,347
25411,14414,16338,14138,12028,9165,21274,11514,16408,11683,14217,12425,18096,10759,19902,13691,21800,19292,21336,9317,8501,13047,22100,12966,15657,19697,17174,7386,16472,7922,8139,16255,14311,12687,13025,13324
455,919,110,141,67,59,68,51,165,131,150,53,323,374,212,225,155,380,281,214,127,154,322,349,317,356,124,217,451,85,493,266,1397,437,250,266
652,48,3,3,7,4,5,3,4,151,376,7,478,1237,7,1,7,109,12,28,9,13,24,25,1203,22,5,116,5,7,209,3,4,1696,2,83
1220,67,1,3,1,2,5,2,2,180,606,6,986,1528,5,2,8,134,12,26,11,6,28,16,1358,21,5,125,10,8,317,3,2,1772,5,111
1975,2724,1142,539,1036,558,925,557,1439,782,681,827,1406,1207,1547,856,1036,1382,1681,1334,1058,843,2108,1865,2496,1998,1433,949,1539,796,1292,1491,2016,2169,863,1171
52,18,48,36,16,7,13,10,17,21,6,25,37,1230,25,22,28,79,912,714,351,528,1755,775,986,1411,49,107,43,22,79,7,11,23,12,36
82635,57081,59094,33640,32017,25298,17444,14886,62131,48176,59819,23810,57938,42831,107976,99125,58421,93317,89729,19273,13770,19469,49383,24614,42127,59847,77442,22244,121240,22895,25673,46853,37045,39546,21842,41467
23310,7803,29415,46,16,17,14,22,11,31,37,30,16323,306,45,38,87,1186,233,428,97,150,424,180,238,330,70,1372,3192,33,1915,52,75,228,32,2279
28316,15934,13981,8292,10028,6613,7035,6042,20843,15711,16963,7337,23290,14339,18951,17853,11765,21427,19673,6461,5286,6692,12111,7042,12282,14576,11048,5871,15060,4986,12310,18950,16578,14767,12867,13149
419255,303893,320157,202739,210515,154767,149133,148846,254100,256142,277676,144420,293462,206405,324819,309161,238895,397121,305303,124932,101219,145452,198288,135268,206095,225745,249829,116991,312706,108602,133307,213629,239033,219840,143080,182370
200750,207928,152935,66939,70483,97859,66543,150588,73030,83509,84859,137821,142747,58869,88168,81683,114279,141349,83275,158343,117342,144278,57637,121074,54950,76686,74142,145330,95260,152949,69765,65893,88011,62486,134621,103467
266744,245187,177438,90542,99437,119850,85118,173664,115868,120746,125585,157901,187911,92370,135152,122525,156359,197875,136594,183639,134994,168290,97169,144885,95000,116534,108781,168326,136210,177792,83099,101121,128656,103868,163479,135285
46081,31239,31367,7574,8618,5822,11794,9432,18319,22373,21868,9912,34674,21103,15209,26221,14404,21493,16353,7213,7412,11740,11148,9435,12227,21556,9701,10454,18484,8420,35126,22517,21201,16440,20087,15978
27281,21656,24330,1539,1682,1322,9628,6992,2925,12325,11700,7075,19538,11677,3264,14897,7607,7775,3001,3416,4958,9129,3451,5421,4370,12393,2779,7364,9935,6404,29529,10810,12226,6994,12858,8611
86267,43537,45584,31994,43860,28447,45552,32060,43392,45161,47726,29313,62251,35550,40894,43394,33337,53331,46069,16586,15933,18306,34010,19629,38166,37448,32838,20644,46925,23328,33204,41953,49335,44509,29867,28111
111563,149731,90888,22764,30270,39270,46440,80659,27635,35627,30997,85246,79968,26893,26732,32595,51630,59577,29174,80206,65899,79738,21342,59361,22908,34721,22152,69938,32160,68820,50234,29643,43216,27358,72491,49070
142892,199928,125271,19908,20555,65576,85669,169081,17131,20744,8803,167903,109654,8837,14748,8624,107206,69626,17807,176214,130039,161128,20779,125952,11384,42109,17289,147738,17316,157340,55739,17557,48292,9471,143134,89488
58647,84076,59931,8963,11106,25915,48055,73142,4865,10688,4269,68096,46174,3165,5603,6840,41739,30943,6187,62191,46290,55339,8537,52050,6740,16630,7484,53687,8138,56893,24030,6756,28014,5252,47897,33241
150083,275786,104517,11044,15713,51517,48311,176561,3235,18788,4681,185857,115769,7948,3317,5250,97632,103275,5493,185535,176609,205894,5556,126074,4171,29466,7198,137428,9231,149414,53434,4088,32544,4345,129208,76548
99161,149693,92731,17807,21791,51658,33184,101259,19713,25239,17285,96530,70994,14935,17994,14404,58375,53195,19216,105364,78601,94322,14814,74076,14354,25956,15529,96285,20335,100910,37973,17172,34039,16802,81470,55234
337637,285203,209926,127531,142365,115267,89545,127630,218517,199144,225191,139942,232314,174427,271074,272879,207902,333063,258273,141112,108905,143370,172807,131503,167328,204118,185371,136005,254997,124286,98742,181362,181952,172644,153453,177589
259001,464586,218681,17484,25995,107829,69555,271767,2384,32965,7040,297643,182240,13551,2603,6059,142680,138151,5491,316822,257898,303495,6440,210735,4681,45639,9124,270860,14322,265339,91466,3509,54996,5879,224467,134077
174163,253883,124517,29451,37054,69066,48321,147121,31521,44058,37440,158452,130387,30395,32187,31681,93467,106850,37874,173586,145223,169343,29017,114888,29447,46981,27683,140446,36327,135626,58348,27230,55428,32621,132136,86512
110247,71316,48415,38643,44572,42271,34114,51124,52664,50155,55966,47943,82328,38532,54299,47211,53427,80822,58984,54178,43534,51516,40995,42649,43183,43742,41106,39619,51169,41455,26420,44586,52900,49037,53258,46876
