KATIE25,STOIC32,STOIC45,STOIC11,STOIC12,STOIC13,STOIC14,STOIC15,STOIC21,STOIC22,STOIC23,STOIC24,STOIC25,STOIC30,STOIC31,STOIC33,STOIC34,STOIC35,STOIC36,STOIC37,STOIC39,STOIC40,STOIC41,STOIC42,STOIC43,STOIC44,STOIC46,STOIC47,STOIC48,STOIC49,STOIC50,STOIC92,STOIC93,STOIC94,STOIC95,STOIC96
18041,17905,4563,1971,1891,257,6567,2250,5317,681,4653,4698,11777,937,3354,2983,2675,8641,3793,2669,3271,2615,8125,4612,3101,10562,5698,2886,1719,3945,6465,15426,7316,5094,6305,4734
1048,784,246,162,70,23,1341,212,540,30,167,1020,708,108,292,590,266,569,473,135,535,251,782,183,541,705,458,95,301,479,689,1861,641,940,558,351
8524,6370,2625,174,1563,335,7238,1200,1062,790,3451,5377,5895,740,630,1151,1461,4296,641,892,2830,1236,1847,1732,2166,3890,619,978,1141,2647,2793,2381,5299,3682,3868,2152
9008,7077,2716,173,1819,332,4121,723,1282,1145,4696,2537,6097,1518,916,1211,809,4304,762,787,1419,1032,2523,1939,2007,4623,604,1084,1393,1424,4296,2662,3955,3299,2712,2191
21047,19578,8957,157,1875,214,78269,12009,1226,591,1385,59776,14223,457,684,1040,12086,11392,649,1885,32937,8354,1425,2624,1689,7238,649,2002,794,27060,9086,2451,31908,2456,29407,7237
7464,7374,2553,402,1250,249,2444,639,2005,777,3874,1803,5392,1644,889,1568,919,3787,1083,1069,1432,1259,2862,2426,2365,5533,907,910,1350,1246,3226,4455,3870,3893,3432,2265
146,80,102,13,13,6,31,9,9,6,17,25,93,5973,21,15,48,104,5695,3930,1932,3644,9871,4001,6012,7469,12,28,45,13,106,14,40,31,39,30
93,62,79,7,6,6,10,0,8,3,3,3,57,26689,6,2,169,321,24988,17371,8828,16640,45736,18198,26107,33990,7,29,31,6,75,5,6,21,28,18
187,120,71,11,18,8,32,10,25,22,48,29,117,2477,46,37,47,110,2151,1605,868,1390,4053,1593,2448,3061,25,29,41,21,145,37,40,49,32,31
247,149,95,9,27,8,41,8,32,18,44,25,154,8754,30,29,87,203,8265,5733,2904,5318,14998,6140,8800,11052,13,37,44,13,170,30,52,40,21,38
246,185,135,10,11,13,21,26,9,21,25,19,137,368,10,15,21,42,309,244,109,223,598,288,356,433,9,68,69,18,164,22,21,40,28,36
35,23,16,18,2,0,9,2,3,3,7,7,16,1058,5,3,13,56,935,632,344,481,1636,662,1040,1213,4,15,16,3,28,9,5,6,5,5
20,14,12,10,3,6,6,1,9,8,8,8,16,13512,7,9,145,173,12902,9366,4666,8347,23677,9447,13804,18065,17,20,11,11,50,11,3,10,9,11
21,26,19,4,2,3,4,1,6,6,10,6,24,6874,7,5,25,63,6704,4407,2310,4837,12521,5061,7009,9371,7,21,25,8,33,9,11,19,6,7
23,16,27,11,2,4,8,1,2,5,7,2,21,7465,13,4,130,236,6485,5004,2347,3669,11443,4508,7109,8949,17,57,23,21,120,0,2,11,6,15
13507,10665,6178,663,507,265,753,221,1468,2042,1971,167,8820,4706,691,2206,650,4837,1034,1015,448,884,4512,2650,1238,6072,1162,2096,2675,515,6575,5653,1738,2783,2217,3431
8364,6331,4094,343,319,143,464,133,749,1165,1132,98,5027,2635,436,1275,401,2814,483,500,212,473,2208,1439,597,3238,645,1270,1635,309,3986,2926,901,1345,1104,1783
512,374,199,77,19,15,27,27,33,128,74,45,378,362,27,45,17,144,162,105,121,109,307,135,167,340,12,169,353,126,749,41,99,119,126,233
269,222,157,108,3,3,12,7,49,43,64,29,182,255,54,27,25,85,77,38,81,57,181,71,85,174,10,110,124,85,508,68,119,129,176,147
11381,4800,11704,157,97,477,759,133,216,2623,1210,232,7607,8857,329,1980,416,3722,146,196,387,534,353,1134,707,3724,34,1999,6185,562,12632,534,1315,3122,2994,4447
13015,6965,6112,42,207,126,730,476,169,2456,469,1566,10016,5569,235,1029,910,2882,191,317,1194,870,228,1331,502,3576,57,2648,6611,997,15281,295,978,2206,1567,4451
16335,6032,4713,65,40,323,114,120,86,2189,967,66,11606,6052,155,2182,184,3025,98,387,118,458,135,1217,1022,1615,46,1569,3289,294,10542,189,387,2736,1515,3356
1711,1144,919,288,597,795,360,192,334,738,277,80,1274,1415,535,252,177,627,386,212,140,391,481,396,357,685,270,421,453,70,2370,400,486,601,145,966
36266,11869,15135,2999,13746,26052,8254,4578,5191,20424,4773,712,24304,22737,8137,5131,1762,8005,6595,2437,1869,6527,3238,2852,4355,13888,3771,3579,2974,1276,14573,6186,2893,4672,2384,12178
52999,15200,22817,5221,22244,48603,12250,5785,6687,34380,7396,941,34990,32705,11859,8410,2723,11242,8985,2900,2455,8455,4454,3983,6435,19127,6142,5580,4702,2122,23288,8562,4044,6843,2880,16068
55462,16986,24029,4527,19745,41143,11775,6078,7366,31255,7173,889,36464,32783,11792,7731,2652,11713,9657,3328,2619,9357,4475,4070,6378,19994,6095,5640,4624,2092,22652,8888,4274,6695,3164,17085
20745,9218,9024,1074,4910,9775,3211,1426,2215,8334,1820,308,14196,14296,2954,3009,847,4538,2541,952,1047,2813,1241,1637,1854,6725,1188,2766,3229,1275,18336,2773,1891,3710,4022,7304
711,596,419,53,187,218,114,77,121,232,125,20,532,591,205,105,39,259,135,93,30,153,252,221,114,305,64,222,187,21,1315,122,182,212,76,424
14784,4479,6079,1324,5714,12493,3084,1462,1748,8375,1796,260,9616,8946,2898,2173,688,2933,2313,796,597,2228,1372,1110,1779,5122,1484,1302,1114,479,6268,2282,1075,1891,750,4485
23167,12535,11341,268,685,1522,1494,444,697,2988,982,382,16176,14847,1424,3118,566,4424,534,542,861,1434,426,1251,544,5178,287,3502,3636,2314,30864,1189,2485,3277,8502,6657
25207,12393,12103,235,390,1368,1386,340,451,2755,880,442,17625,15815,1275,3351,637,5038,408,507,967,1353,365,1211,485,5054,167,3707,3959,2452,33797,1096,2523,3570,8842,6482
27574,13336,14860,218,191,944,1364,206,475,2878,1022,345,18964,16978,1305,3752,550,5036,383,340,791,1334,361,1171,368,5435,95,4145,4038,2794,38636,949,2929,3357,9580,6531
60662,30411,34858,643,1077,3897,3217,630,1054,6838,2406,804,40316,38041,2860,7993,1254,10940,927,912,1888,3048,775,2700,912,12188,332,9036,9073,6252,81094,2284,6290,7524,20701,14096
5602,2473,4565,110,470,199,95,108,223,2703,151,112,3782,1677,211,209,81,1633,215,264,139,245,259,223,260,274,101,1645,2769,94,4208,88,361,1282,181,1621
544,562,174,77,41,42,79,35,122,60,439,30,390,206,152,105,38,242,123,85,51,66,252,329,175,633,50,140,113,66,504,138,216,278,243,165
2607,3387,940,127,119,139,412,99,619,209,1738,245,1821,856,544,630,228,1185,476,432,300,324,956,1582,662,2702,241,631,441,303,2212,785,904,1378,1054,780
482,279,228,16,4,9,73,37,14,94,73,42,214,300,9,105,74,72,162,131,80,170,292,140,187,318,13,57,42,32,248,54,63,52,92,79
172,83,138,101,18,28,39,42,54,45,77,35,128,1300,44,39,44,104,1220,910,482,709,2154,873,1420,1657,29,75,72,18,182,52,43,51,106,35
503,282,201,98,18,26,63,56,77,121,149,32,359,1378,97,142,78,151,1142,826,423,782,2029,821,1257,1755,50,117,314,49,418,81,147,106,153,140
816,444,275,10,5,11,16,4,3,109,22,9,551,398,15,22,9,120,150,106,51,110,283,179,162,338,10,149,532,31,586,4,48,62,81,307
2788,1438,1199,19,12,24,67,19,21,384,126,28,1702,1172,78,171,59,369,423,275,217,307,669,446,387,1012,32,453,1296,134,2045,57,264,204,390,952
2121,1041,508,38,13,16,129,9,87,140,164,28,1451,1378,102,109,80,325,555,366,249,360,1010,570,526,1166,30,388,648,174,1905,118,249,225,652,729
185,117,182,18,10,8,22,25,21,39,35,24,104,841,55,84,19,60,677,476,237,375,1183,489,797,911,10,68,74,21,170,26,50,65,32,34
537,231,309,14,16,20,11,12,7,96,26,0,436,479,6,29,6,148,139,107,46,125,217,123,225,282,10,153,507,10,572,2,96,319,14,255
470,145,881,42,2,6,12,1,2,47,16,4,300,185,18,57,11,48,47,51,26,44,99,43,117,101,14,115,178,31,286,23,48,112,51,99
4355,1880,3900,30,10,83,196,34,48,787,385,8,2684,1398,188,782,49,638,114,108,85,211,207,263,380,752,22,787,1827,229,3660,199,582,750,366,1702
8533,4781,9955,134,103,364,279,94,154,2280,1086,67,5650,5029,515,2859,554,1380,229,353,198,600,653,802,948,2269,65,1387,4480,625,6832,1177,1795,3145,2377,3236
4630,3647,5115,866,321,342,361,237,1228,1728,1435,115,3102,3211,1026,2421,702,1588,1081,493,348,615,3459,1088,852,2618,1000,1232,2107,628,4741,3773,1517,1548,1731,1823
4046,2720,4594,488,197,258,239,115,686,1521,1150,77,2591,2703,563,1949,548,1236,542,229,194,322,1920,682,493,1790,615,1083,2174,617,4149,2486,1083,1246,1335,1577
1871,1346,1608,296,82,93,174,145,499,545,654,52,1166,873,354,888,230,688,343,155,99,227,1034,396,357,1019,416,475,830,208,1827,1125,566,482,537,639
5677,4769,8868,2515,411,412,599,382,3570,2623,2661,183,3804,3939,2201,3328,1296,2168,2549,400,466,674,10793,1527,989,3821,3422,1793,3450,1232,5571,12905,2611,2369,2659,2387
18469,15067,23477,865,433,1202,852,354,1349,7243,4181,277,12356,13786,1527,9420,2164,5100,1038,714,750,1383,2911,3029,1319,6887,947,5447,9981,2908,21148,4876,3933,4993,6497,7482
2693,1744,2819,606,271,179,280,176,780,900,1018,72,1696,1741,532,1130,357,940,528,214,124,286,2335,569,576,1591,738,790,1491,454,2800,2746,991,1087,945,1143
859,540,682,115,65,52,73,34,107,218,185,28,607,522,145,206,92,318,115,72,70,79,461,134,175,406,101,167,397,68,899,356,252,243,244,356
7807,6994,7505,624,545,411,532,294,1296,2462,2292,176,4953,4537,1085,3285,901,2479,1013,574,444,846,3081,1689,1078,4172,893,2039,3451,1100,7835,3513,1974,2398,2643,3011
9919,6298,13087,464,174,724,475,218,790,3821,2312,115,6052,7809,870,5140,1172,2557,633,464,411,746,1683,1708,823,4120,481,3101,5981,1674,10384,2688,2309,2797,3534,3994
1089,685,623,137,61,38,120,85,283,225,373,39,699,501,183,401,98,386,209,110,70,175,638,255,236,728,218,242,420,102,885,646,351,312,290,467
10604,11884,13627,5174,1236,659,1306,1049,8722,3778,5931,585,7109,5934,5359,5893,2710,4775,5953,1503,1266,1715,23923,3759,2650,9385,7820,3125,4997,2145,9641,27469,5321,4666,5517,4360
1981,1772,1033,333,196,89,247,184,853,476,803,137,1279,730,519,914,358,746,570,254,196,384,1721,562,519,1484,523,413,635,250,1453,2004,811,811,843,732
4266,3197,3420,746,443,205,496,309,1308,1205,1714,120,2834,1894,951,2010,712,1581,924,365,295,520,3002,995,1061,2538,1063,1013,1951,606,4051,3573,1545,1652,1520,1661
5143,3285,5052,546,344,312,368,215,951,1721,1337,84,3550,3139,781,2356,699,1806,636,294,275,529,2253,916,637,2316,806,1311,2645,596,5138,2862,1416,1579,1801,2172
11662,8502,12525,780,613,801,611,376,1348,4698,3296,197,8622,9564,1325,6263,1566,3770,1136,691,573,1115,3481,2425,1284,5887,1084,4009,7445,2180,14660,4634,3128,3899,4700,5469
7117,4971,6667,251,105,193,307,158,629,2021,1010,68,4750,3272,562,1969,455,1893,448,278,329,436,1043,761,628,1926,281,1775,2634,416,7235,1310,1051,1378,1692,2324
1756,929,1533,641,96,131,545,229,224,155,171,147,1223,897,157,252,209,499,534,400,339,400,847,413,605,919,176,366,394,170,1503,335,276,203,323,482
1366,572,793,227,53,149,121,58,90,177,185,35,948,916,101,195,111,306,558,415,252,349,968,407,631,891,92,208,509,58,893,262,311,183,227,344
2279,1927,1202,327,144,132,361,444,130,620,636,389,1487,1036,208,1258,458,739,384,453,464,831,551,557,434,1079,99,435,248,230,1317,744,1616,433,926,386
1327,363,433,157,64,57,43,42,103,158,115,16,875,585,115,135,48,290,421,278,108,251,704,287,449,646,53,163,382,35,775,209,269,143,183,421
706,336,170,133,30,18,54,28,62,56,109,21,546,358,74,105,55,236,291,233,147,208,669,245,323,962,43,78,171,73,592,193,118,99,166,224
2114,1107,740,310,107,56,185,152,188,171,479,163,1276,565,198,387,232,717,304,248,311,446,1007,369,350,1753,112,309,495,240,1763,557,419,387,444,644
882,315,375,89,54,109,34,28,116,104,51,14,578,189,93,57,21,181,117,54,32,88,236,55,91,172,36,105,164,25,553,129,148,96,80,268
2265,828,1017,193,69,166,87,67,340,224,115,29,1470,511,271,168,37,523,320,119,68,227,701,174,227,492,97,278,411,51,1448,438,359,167,199,674
2343,1069,876,312,168,76,180,106,701,343,213,104,1569,685,498,321,126,751,588,205,173,313,1586,310,392,889,261,345,371,91,2082,1155,345,460,378,756
1038,502,531,225,70,31,92,66,283,138,118,44,708,314,202,125,54,327,185,73,65,138,685,127,234,406,61,166,242,58,1146,392,139,270,170,388
12057,5753,4990,1214,597,335,663,517,3332,1711,1200,410,7851,2406,2280,1450,567,3426,2437,617,514,1019,5977,1296,762,3505,1335,1528,1660,440,7976,5591,1607,1421,1588,2731
1173,534,362,182,78,65,70,41,69,194,204,25,765,457,105,117,65,377,250,183,114,160,583,248,275,592,60,168,360,52,791,267,141,249,123,313
2738,1282,1077,345,139,94,188,142,392,448,413,129,1795,843,341,325,122,794,554,309,187,447,1288,396,444,1113,153,395,518,123,1929,811,376,453,374,746
193,234,150,50,78,15,27,37,34,36,49,13,98,5037,33,47,53,85,4753,3318,1711,3460,9039,3509,5247,6687,11,40,69,24,173,64,205,121,391,72
30,39,55,32,24,31,18,16,24,40,69,14,36,2370,28,37,33,108,1891,1613,693,937,3363,1470,2616,2795,38,80,55,22,123,62,213,186,248,32
672,1269,427,157,864,90,850,72,296,137,712,360,513,717,263,224,126,375,764,533,374,379,1511,838,1164,2732,101,270,353,296,838,1285,5410,2721,1379,403
1436,5768,1012,234,3203,201,3532,291,1266,347,2655,1689,898,1903,1138,506,223,1215,2855,1733,1871,1258,4156,3060,3870,9349,210,919,492,1303,818,2585,20026,8898,5799,1296
187,126,111,45,67,11,94,12,53,27,98,40,125,1295,66,50,52,98,1100,904,397,692,2275,872,1310,1749,54,54,82,29,211,306,373,242,135,64
228,288,179,140,123,22,127,34,157,32,418,60,181,2213,108,69,29,257,2092,1359,756,1350,4078,1557,2267,3310,46,85,91,35,287,301,482,603,329,143
1877,7475,1523,278,3529,207,5346,442,1863,471,2991,2760,1257,4151,1625,674,395,1773,5242,3382,2999,2335,7749,4742,6361,13424,311,1122,548,1732,1005,3829,24087,10363,8161,1612
302,415,194,75,276,32,429,24,107,55,231,160,186,850,106,59,55,144,979,693,353,516,1652,766,1058,1597,46,94,168,81,240,343,1321,787,377,159
760,1104,433,80,520,43,564,57,222,135,488,345,536,967,204,115,65,362,920,669,468,501,1614,858,1158,2334,54,211,307,209,574,563,3100,1583,1037,351
340,545,321,91,298,42,407,42,125,49,308,142,207,15463,153,70,92,267,14644,9643,5176,10186,27014,11013,15616,20772,67,127,118,137,346,447,1881,909,756,181
300,393,198,57,178,46,211,32,121,47,282,96,206,3488,144,71,60,210,3136,2218,1125,2119,5815,2404,3344,4834,44,104,93,64,430,359,1084,644,505,143
344,1533,174,77,533,43,624,54,381,76,445,325,260,1340,232,89,59,235,1613,1101,781,984,2693,1216,1801,3195,54,144,101,183,240,639,3871,1674,1307,289
2661,12032,1498,310,6254,348,6356,536,2485,713,5017,3535,1784,1514,2043,930,452,2402,3270,2181,2612,1002,3868,4027,5472,14944,393,1847,785,2423,1056,4424,37151,16844,11490,2324
708,710,342,92,183,66,236,39,141,125,242,78,516,5959,127,173,170,369,5389,3835,2038,3593,9485,3948,5596,7801,71,177,208,104,900,961,1128,681,429,211
23,46,34,25,7,5,29,13,4,5,10,12,9,6542,3,6,75,164,5798,4320,1977,3291,10076,4156,6263,7966,18,41,14,13,76,19,27,13,12,5
26,20,23,24,14,10,14,8,11,8,13,12,28,634,16,26,11,24,619,433,238,348,1036,429,639,803,21,27,23,7,34,22,15,27,15,11
31,48,23,26,8,7,17,16,34,37,45,8,19,338,12,46,20,30,280,207,126,150,517,214,297,409,11,9,15,10,29,30,46,21,21,14
349,375,199,61,118,22,143,107,44,74,85,97,215,7017,58,82,112,139,6842,4317,2471,4786,12310,5004,6887,9433,20,79,73,126,354,91,275,149,473,102
152,187,86,62,65,8,54,42,16,44,55,8,95,633,56,47,43,79,556,446,234,383,1081,473,636,954,13,32,52,17,219,56,157,95,300,43
564,820,458,26,175,3,24,81,12,205,37,12,461,396,19,53,23,133,389,286,115,260,649,439,450,510,3,74,53,9,407,30,394,149,298,130
350,503,244,58,94,21,49,79,14,97,48,32,226,3217,45,77,52,99,3081,1929,1075,2285,5693,2261,3365,4211,10,75,83,31,272,90,323,126,370,111
210,384,160,68,122,23,81,62,59,89,156,42,165,1719,76,67,63,131,1557,1107,515,944,2663,1101,1563,2205,10,57,71,44,354,112,437,252,331,76
201,165,347,201,38,75,57,62,38,52,68,21,125,1243,57,55,48,128,1129,774,364,603,2000,864,2113,1684,49,47,170,16,209,137,495,472,825,107
614,554,885,868,77,180,332,297,311,106,241,183,398,699,188,254,282,342,724,349,290,422,1011,354,643,832,269,140,702,73,356,556,189,135,172,139
56,32,30,7,2,5,3,0,7,11,9,13,39,483,17,24,10,30,399,298,129,240,672,267,411,540,10,11,23,6,72,12,18,13,8,18
32,20,19,27,4,3,3,0,10,11,22,11,40,675,15,28,14,36,629,415,193,402,1133,458,665,879,14,35,34,13,64,3,9,14,10,13
368,503,280,229,214,198,154,184,273,184,213,153,366,977,342,196,226,307,1026,749,443,730,1728,866,1218,1395,285,116,395,112,302,341,489,443,223,276
2171,1874,840,286,442,495,405,434,1238,281,667,228,1650,490,949,889,457,1014,1103,597,316,438,935,1354,2279,1324,782,1018,974,294,1189,1305,3300,2992,902,690
95067,66782,56113,48129,48165,35836,25583,22594,81512,68198,83925,33153,67230,57283,140024,127084,75567,121492,114840,25107,18215,26057,64617,32075,57717,78127,100954,30078,151037,30561,34669,64581,54344,54882,32369,52420
4778,6130,3283,827,1269,1298,3333,3110,2587,1006,2013,2427,3831,1609,2725,3804,2532,3484,2447,2464,2155,2747,4022,4005,4710,3494,2343,2604,4918,2180,3369,5268,10002,7064,6077,3465
815,1898,880,230,200,290,606,707,289,249,282,598,624,725,210,437,500,584,246,464,500,480,653,587,309,529,251,386,618,510,902,1095,899,706,1008,568
1090,2601,787,194,278,297,842,884,513,302,462,890,885,939,288,1217,788,927,376,559,727,761,2024,1052,740,726,448,469,1499,751,1064,2758,2626,1492,2119,1141
20781,33558,23639,2867,5866,3655,28265,24046,4684,5632,3462,20425,15390,2672,3697,9176,17116,10929,3982,12531,10373,14726,9931,16419,6232,7666,4644,9703,9884,13354,9453,10863,21785,7401,19247,11520
23066,34235,10504,2217,4236,5099,11598,14370,7319,5258,6627,13870,17280,7997,5904,16439,12491,13108,5502,20360,17438,18986,21236,19562,11232,11125,6913,16786,18590,16016,16893,26825,36238,19030,35551,21113
28534,14617,6978,360,2392,1122,25407,21889,1946,506,1404,72401,18051,1134,1417,2284,39370,11911,1619,2919,38864,10117,4183,6079,3784,6848,1396,2924,2739,34092,14699,4253,7619,5530,29630,5683
1270,757,944,1285,1327,1138,812,454,1202,1175,1086,630,1012,1708,1907,1134,1206,1377,2186,1016,675,781,2435,1044,2053,1984,1729,448,1917,513,668,1608,1233,1722,740,1071
428,289,370,152,354,146,403,224,275,267,374,363,310,321,456,457,1948,396,985,299,331,270,1552,352,558,3058,210,189,499,243,237,291,5280,607,3237,159
450,259,296,79,141,138,110,103,198,69,156,57,296,568,236,216,173,179,769,393,201,403,1010,537,922,1000,196,280,237,88,190,163,809,594,281,112
3623,1641,6031,91,4258,54,5403,3410,421,3158,6752,3699,2452,356,1829,9148,13535,4894,1523,699,3286,989,885,618,1301,24288,164,1044,7049,1549,1247,791,17062,4049,32153,302
33359,30203,65181,91,9041,13182,8805,11488,7217,10303,39811,49762,24625,36510,14718,62594,81062,37701,12986,13371,121272,105162,15617,13308,3250,36236,6948,5966,26712,60030,18423,27544,28576,15256,69951,12887
14554,15456,34365,177,4447,4691,4353,5301,12217,9683,82365,19345,11730,85032,23249,141862,32775,20940,18465,6050,43916,37176,16856,7287,4521,26306,4519,2189,46489,18953,6703,56686,26637,23394,55855,7236
37616,28604,75906,68,11386,14976,9593,13100,7510,11279,28072,45828,26511,23023,14014,43172,82920,40609,12141,13900,117535,105259,16067,15774,3063,40330,7247,6284,23467,65929,21352,19031,33738,12803,72088,14136
5188,3479,7949,1918,2758,2632,1878,1606,2368,2895,6837,4292,3487,6124,3996,9740,7607,4759,3249,1981,9259,8167,4174,2049,2643,5126,2563,1007,5203,5112,2565,4954,4563,4057,7034,2197
104,83,194,33,81,104,92,75,119,54,152,247,78,430,81,227,348,145,287,233,275,329,518,235,264,524,46,347,200,256,155,150,123,467,193,57
125,123,272,35,130,138,104,109,65,74,276,353,140,1659,164,460,545,204,1315,903,878,1299,2428,993,1361,1915,91,63,276,378,109,215,219,145,260,118
487,151,10,1,257,11,2082,370,273,560,484,124,419,830,1026,500,635,55,549,91,54,61,5989,799,606,5213,17,237,70,10,145,15818,1070,2858,1681,1556
324,73,7,5,116,9,1049,220,99,242,265,84,285,385,495,248,312,63,201,51,34,30,2723,269,285,2516,15,98,39,11,77,6637,405,1314,816,671
27145,9739,12641,13974,14333,11492,8061,6831,16879,15042,15880,6700,19560,12055,15795,12978,11469,20376,18660,5935,5125,5690,13517,5728,14469,11644,12193,4510,15682,5030,6061,13595,15762,17790,7816,8923
65670,32799,27066,44146,45918,35815,26000,22472,93796,49921,59484,24261,60961,46285,60975,49763,40760,77608,80005,26453,19281,25658,55367,26585,60134,56624,35124,14321,45323,13418,16429,67671,77119,71322,41841,45256
33661,11344,23367,26348,24983,19037,13672,9735,19228,25215,29554,9626,28711,16452,27757,23323,17813,29420,24548,7660,5326,6949,23289,8134,21855,20550,25874,8344,29098,8256,10836,22860,29008,26981,10939,13711
41665,22112,13811,10032,12743,7916,28559,22369,12999,11419,12525,80237,29126,8350,16439,11757,43650,25496,14159,6347,45065,13775,12629,8387,12020,15111,12108,5595,13671,34200,17385,12693,12046,14004,33428,10672
26863,12797,6829,1049,3126,1298,24085,19806,1591,1424,1398,76463,17989,1119,1796,1148,37378,11001,1692,2800,45287,11263,2536,4654,2154,6246,1719,1948,2012,32935,14133,1934,2548,3188,29993,5001
54120,28576,15984,4772,8301,4456,37558,31944,12743,7291,9067,113723,37390,7100,12387,9557,60999,27935,12712,6535,68639,19182,8798,10185,8291,14725,6851,5008,7809,55060,23867,10607,9996,10171,50090,12513
52551,27543,16327,6405,9758,5474,33544,28996,15279,8936,10797,100953,35557,8544,13170,10236,54568,27209,14480,6779,61918,17826,10112,10087,10022,15016,8485,5026,10071,47630,21958,12873,12297,12209,45908,12747
64227,86231,24115,2810,5779,10415,37550,63323,1802,4410,2216,129162,46487,2818,1867,2538,67900,42528,2520,45878,104583,70834,3346,37150,2776,14922,2569,24786,3272,70254,27301,2501,9943,3861,68155,23823
38686,20519,10717,4051,6709,3587,24788,21397,11438,5972,7232,77563,26692,6162,10491,7671,41393,21060,10826,5308,48937,13959,7132,7756,6926,11132,5571,3637,6619,34656,16189,9252,8496,8415,35428,9832
11063,5078,3092,442,1520,594,12625,9826,689,514,648,35369,8385,923,864,509,18223,5240,1157,1626,22244,5812,1928,2652,1433,3817,773,979,931,16782,6952,1087,1302,1504,14914,2633
33486,17211,11834,192,2183,572,26106,21644,380,338,594,82919,19997,288,486,260,41486,10963,416,2458,46996,11287,1369,4420,901,5913,370,2083,812,40195,16789,775,1761,1697,31761,4479
30687,14877,8893,1459,3100,1516,25405,21360,1001,1201,1732,82139,19083,862,1357,1189,41253,11504,1414,2461,43474,10724,2011,4648,1551,6082,1217,2051,1782,35564,15796,1500,2373,2547,29566,4718
98631,49818,58842,52159,53373,39214,27674,22985,68652,63392,72428,26277,69710,48603,85904,75459,50445,97998,76986,20499,15923,21428,53829,25595,53190,52655,59514,21281,74778,18763,27682,60832,57400,59228,31388,41350
