STOIC31,STOIC21,STOIC46,STOIC48,STOIC11,STOIC23,STOIC36,STOIC94,STOIC33,STOIC22,STOIC12,STOIC92,STOIC43,STOIC35,STOIC13,STOIC41,STOIC93,STOIC30,STOIC96,STOIC44,STOIC25,STOIC34,STOIC47,STOIC45,STOIC37,STOIC42,STOIC95,STOIC32,STOIC40,STOIC50,STOIC14,STOIC15,STOIC24,STOIC49,STOIC39
110,119,61,1187,89,84,119,703,116,1420,282,33,151,567,154,130,173,839,1096,120,1292,35,1625,1743,225,178,93,779,151,2361,47,64,53,54,86
220,157,136,213,106,175,400,339,213,152,228,167,291,147,108,796,2276,165,94,1365,110,828,205,148,296,250,1617,97,187,153,200,124,160,130,187
403,823,780,367,631,631,451,392,631,209,196,2154,418,315,48,1684,471,436,404,1136,615,351,609,882,259,654,650,841,244,1220,300,188,318,407,358
13,19,16,22,20,35,792,98,27,26,16,31,1548,42,19,1698,93,1153,15,1246,12,11,83,26,1345,1097,115,12,587,61,6,12,6,19,406
293,668,834,76,654,135,444,142,121,51,24,1630,105,77,73,1447,207,202,144,219,115,71,84,217,115,149,111,128,116,229,27,36,8,49,39
470,599,474,437,221,341,482,1628,392,147,267,666,1294,351,400,454,1503,267,473,566,549,197,1024,317,501,1031,419,633,259,669,208,237,79,168,175
214,233,122,402,358,315,373,392,197,358,156,601,418,403,138,963,247,677,663,699,886,83,549,515,397,473,263,565,362,1520,121,120,62,109,168
49,9,23,766,22,73,228,148,113,268,14,35,315,153,32,488,138,797,788,579,772,21,608,548,324,433,239,591,270,1466,40,15,19,102,130
444,275,503,600,972,585,347,1423,1079,747,316,988,515,398,968,445,886,855,940,639,688,487,1019,559,432,595,700,829,306,819,414,378,192,376,250
31,32,5,37,34,83,638,133,28,46,87,50,909,44,20,1373,182,860,50,992,45,18,68,57,926,847,151,112,577,209,59,34,14,28,305
917,583,1078,880,902,543,911,880,528,571,885,894,1237,465,906,1279,604,835,683,894,363,433,458,384,879,834,387,232,492,409,448,280,253,366,378
68,42,55,99,25,135,561,84,201,28,85,113,834,64,106,1276,105,836,61,863,50,237,65,94,740,799,125,39,752,64,49,66,145,221,477
248,332,165,200,87,835,177,768,281,119,93,418,367,403,96,464,435,457,490,1154,615,93,608,310,333,1221,491,1118,194,1189,241,75,96,212,196
23,28,19,31,71,38,534,37,16,22,14,24,803,32,25,1104,19,679,16,712,51,13,85,58,762,636,46,29,462,108,25,20,10,7,265
45,38,29,153,81,74,498,53,61,67,13,45,710,56,20,1081,71,641,105,792,124,30,118,86,679,573,80,100,467,252,29,33,14,35,237
47,48,20,269,19,85,251,127,52,83,9,49,321,122,12,513,131,738,451,474,480,30,392,204,349,434,322,354,255,996,48,4,12,102,133
0,1,5,6,3,299,4,996,0,91,1,0,785,43,1,10,0,817,75,10,333,2,137,1,28,10,3,20,2,169,3,1,1,7,10
91,104,48,179,187,187,343,116,35,50,48,132,511,217,23,899,125,685,302,720,394,17,279,383,463,514,105,214,377,740,31,25,11,24,180
141,147,188,184,149,120,438,259,83,116,151,192,692,98,162,865,243,498,151,582,131,84,123,91,727,601,116,186,473,154,70,100,55,77,265
247,138,456,353,785,308,265,825,412,303,144,605,318,133,555,292,451,277,295,239,149,311,553,249,263,296,319,278,180,414,261,168,92,238,162
16,20,14,15,45,22,379,38,28,22,16,28,523,23,14,780,28,543,21,548,18,9,32,22,539,486,19,26,283,37,19,17,12,16,188
123,66,58,101,235,321,165,208,580,357,87,385,256,253,103,253,743,533,242,474,512,187,439,415,375,418,469,603,469,725,202,275,184,139,270
68,120,127,153,155,116,142,146,120,164,30,292,144,164,88,414,119,425,288,394,268,22,285,366,117,150,82,254,67,740,75,22,9,60,67
27,14,4,27,19,13,278,33,48,17,5,18,454,22,8,590,18,412,24,380,34,12,55,78,426,384,15,32,219,112,12,19,16,11,130
12,4,10,13,20,12,278,11,9,3,3,2,402,14,3,568,1,341,10,404,14,6,36,9,378,330,7,5,280,42,2,0,2,10,113
7,8,18,69,91,23,189,42,5,6,6,32,308,26,7,439,18,298,19,266,58,9,41,98,317,212,492,70,164,107,16,4,10,81,135
5,6,12,200,9,12,54,187,12,51,10,1,129,52,22,115,39,277,165,131,144,3,147,116,78,72,5,82,72,295,7,9,0,13,25
6,3,4,31,5,14,133,26,7,14,7,14,211,16,11,269,12,174,25,179,39,10,71,38,202,212,7,73,123,100,16,11,4,13,66
68,2,3,6,5,4,15,145,53,1,4,163,42,23,1,21,135,17,120,14,3,23,1,37,12,19,47,35,5,10,2,1,4,5,9
